Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
Volume of imports of goods and services,14.1,-2.409,-29.652,-5.902,18.591,-6.604,-23.329,-15.046,28.27,3.689,-8.881,-20.494,-9.962,27.344,11.374,-5.891,-21.202,9.579,-27.845,-22.49,-26.869,-12.61,-29.122,-4.746,18.763,45.952,41.854,27.601,-2.552,-0.95,44.131,-1.358,4.666,11.748,-2.4,6.082,3.88,1.924,3.246,3.309,-10.253,19.235,11.881,2.077,4.108,3.834,Oceania
Volume of Imports of goods,25.654,-1.797,-1.67,3.891,0.17,-3.132,4.188,14.002,28.27,-16.84,-25.624,13.246,-8.836,13.549,-2.189,1.551,-25.53,7.111,-35.829,-17.474,-22.182,-14.704,-22.708,-1.687,14.953,53.472,26.755,25.501,-5.695,-2.543,36.45,4.001,2.803,6.974,0.722,11.205,-1.429,3.5,7.485,-3.572,-9.588,22.873,14.112,0.885,4.04,3.573,Oceania
Volume of exports of goods and services,3.021,5.557,-20.674,4.785,9.884,-27.987,-8.255,-34.075,-2.96,-7.285,-4.935,10.031,4.291,-4.67,5.223,14.054,9.566,4.402,-10.025,5.889,-29.328,-33.958,-7.315,18.375,23.654,9.21,8.02,4.719,15.605,-13.2,27.814,35.311,22.943,5.013,3.367,2.84,-4.386,12.842,13.058,-14.89,-30.421,24.551,17.891,2.886,1.144,12.599,Oceania
Volume of exports of goods,7.056,-1.797,-1.67,3.891,0.17,-3.132,22.473,6.023,10.021,3.792,-6.786,2.715,9.934,-12.797,-1.983,15.243,5.27,-4.378,-16.133,9.592,-42.617,-24.334,9.583,18.655,21.025,5.996,-0.412,13.191,22.524,-20.997,27.627,49.101,27.075,1.547,6.279,2.237,-6.686,13.653,13.478,-15.747,-22.251,20.044,13.714,-0.458,-1.398,13.702,Oceania
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Population,0.231,0.238,0.247,0.255,0.263,0.271,0.279,0.287,0.295,0.303,0.312,0.321,0.33,0.339,0.349,0.359,0.369,0.38,0.39,0.401,0.412,0.424,0.435,0.446,0.458,0.469,0.481,0.492,0.504,0.515,0.526,0.538,0.55,0.562,0.575,0.588,0.601,0.614,0.627,0.641,0.655,0.67,0.684,0.699,0.715,0.73,Oceania
General government revenue,0.037,0.037,0.041,0.04,0.048,0.053,0.057,0.074,0.094,0.114,0.166,0.244,0.309,0.342,0.458,0.446,0.508,0.42,0.453,0.433,0.336,0.34,0.288,0.673,0.943,1.091,1.348,1.852,2.194,2.659,3.526,4,4.105,4.203,4.089,4.381,4.226,4.592,5.068,4.204,3.954,4.362,4.786,5.072,5.295,5.576,Oceania
General government revenue,25.112,22.785,22.601,19.993,21.432,22.203,22.936,24.689,26.4,29.741,31.616,40.812,40.531,36.854,35.646,28.547,28.159,21.331,20.503,18.081,15.396,15.192,11.953,25.452,31.691,30.399,32.879,39.015,40.501,44.851,51.638,49.856,46.858,44.803,41.514,42.353,38.565,39.233,39.981,32.349,31.359,32.035,32.774,32.398,31.659,31.258,Oceania
General government total expenditure,0.029,0.036,0.037,0.039,0.059,0.069,0.079,0.143,0.144,0.162,0.151,0.226,0.257,0.296,0.371,0.366,0.408,0.351,0.389,0.285,0.411,0.362,0.319,0.53,0.833,1.152,1.395,1.783,2.205,2.574,3.183,3.4,3.819,3.862,3.908,4.382,4.682,4.994,4.96,4.42,4.659,5.033,5.354,5.713,5.962,6.285,Oceania
General government total expenditure,20.02,22.156,20.341,19.352,26.465,29.103,31.734,47.634,40.548,42.276,28.777,37.734,33.649,31.843,28.925,23.454,22.632,17.818,17.599,11.875,18.827,16.146,13.25,20.039,28.007,32.089,34.028,37.576,40.705,43.411,46.608,42.386,43.589,41.164,39.672,42.359,42.731,42.674,39.131,34.012,36.953,36.965,36.667,36.493,35.65,35.234,Oceania
General government net lending/borrowing,0.007,0.001,0.004,0.001,-0.011,-0.016,-0.022,-0.069,-0.05,-0.048,0.015,0.018,0.052,0.047,0.086,0.08,0.1,0.069,0.064,0.149,-0.075,-0.021,-0.031,0.143,0.11,-0.061,-0.047,0.068,-0.011,0.085,0.343,0.599,0.286,0.341,0.181,-0.001,-0.456,-0.403,0.108,-0.216,-0.705,-0.671,-0.569,-0.641,-0.667,-0.709,Oceania
General government net lending/borrowing,5.092,0.629,2.26,0.642,-5.033,-6.9,-8.798,-22.945,-14.148,-12.535,2.839,3.078,6.882,5.01,6.721,5.093,5.528,3.512,2.903,6.206,-3.431,-0.954,-1.297,5.413,3.684,-1.69,-1.149,1.439,-0.204,1.44,5.03,7.47,3.269,3.639,1.842,-0.006,-4.166,-3.44,0.85,-1.662,-5.593,-4.931,-3.893,-4.095,-3.99,-3.976,Oceania
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,0.111,0.068,0.209,-0.029,-0.018,-0.013,0.153,0.138,-0.035,-0.025,0.128,0.045,0.13,0.367,0.623,0.304,0.357,0.193,0.04,-0.375,-0.234,0.178,-0.162,-0.683,-0.636,-0.518,-0.579,-0.591,-0.615,Oceania
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,5.633,3.059,8.712,-1.328,-0.823,-0.544,5.786,4.622,-0.965,-0.616,2.704,0.824,2.196,5.368,7.767,3.476,3.801,1.957,0.383,-3.419,-2,1.401,-1.248,-5.415,-4.672,-3.551,-3.699,-3.535,-3.446,Oceania
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,1.537,1.308,1.38,1.399,1.399,1.456,1.354,0.542,-0.016,-0.247,-0.52,-0.864,-0.733,-0.626,-0.35,-0.443,-0.276,0.663,1.33,1.894,2.491,3.077,3.737,Oceania
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,58.101,43.941,38.443,34.142,29.486,26.876,22.843,7.943,-0.194,-2.82,-5.546,-8.774,-7.089,-5.714,-2.994,-3.492,-2.12,5.258,9.769,12.968,15.912,18.398,20.948,Oceania
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,1.667,1.583,1.722,1.734,1.734,1.672,1.63,1.567,1.472,1.327,1.265,1.031,0.927,0.775,0.981,1.039,1.158,1.935,2.558,3.121,3.719,4.304,4.964,Oceania
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,63.006,53.187,47.971,42.305,36.535,30.873,27.496,22.948,18.344,15.147,13.485,10.462,8.964,7.071,8.386,8.199,8.913,15.346,18.785,21.375,23.753,25.738,27.83,Oceania
Current account balance,-0.006,-0.021,-0.004,-0.006,--,-0.029,0.008,--,-0.021,-0.026,-0.026,-0.036,-0.007,-0.007,0.001,-0.085,-0.035,-0.021,-0.006,0.014,-0.031,-0.026,-0.015,0.021,0.061,-0.029,-0.043,-0.08,-0.111,-0.131,-0.223,-0.076,0.016,-0.039,-0.05,-0.035,-0.049,-0.063,-0.048,-0.154,-0.176,-0.274,-0.238,-0.229,-0.24,-0.175,Oceania
Current account balance,-3.21,-11.217,-2.214,-3.689,0.238,-17.791,5.841,0.136,-12.354,-15.709,-12.579,-16.515,-2.8,-2.524,0.328,-18.515,-6.845,-3.92,-1.215,2.789,-7.11,-6.077,-4.112,5.906,15.364,-6.051,-7.992,-12.906,-15.873,-17.747,-26.372,-7.243,1.374,-2.997,-3.749,-2.69,-3.531,-4.31,-3.016,-9.635,-11.323,-16.376,-13.261,-11.912,-11.663,-7.961,Oceania
GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Implied PPP conversion rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.356,0.432,0.402,0.357,0.343,0.356,0.354,0.354,0.353,0.366,0.367,0.368,0.368,0.369,Africa
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.028,98.717,100,100.292,101.509,107.692,111.16,114.64,118.079,121.031,123.665,126.36,129.173,132.048,Africa
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.3,0.292,1.214,6.091,3.221,3.13,3,2.5,2.176,2.179,2.226,2.226,Africa
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of imports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of Imports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of exports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.145,0.141,0.171,0.269,0.27,0.338,0.623,0.574,0.697,0.803,0.665,0.748,Africa
General government revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.847,3.665,3.487,4.074,5.956,5.723,6.845,12.666,10.697,12.331,13.471,10.54,11.183,Africa
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.531,-0.329,-0.337,-0.392,-0.437,-0.356,-0.518,-0.632,-0.693,-0.729,-0.786,-0.961,-1.003,Africa
Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.638,-8.29,-8.314,-9.336,-9.691,-7.55,-10.475,-12.843,-12.914,-12.906,-13.176,-15.246,-14.995,Africa
GDP,4642.229,5219.223,5379.786,5347.49,5678.341,5651.858,5638.444,5774.309,6098.072,6350.02,6420.369,6413.043,6259.593,6328.125,6517.644,6717.54,7003.297,7191.656,7199.521,7365.841,7726.309,7965.564,8274.185,8592.776,9127.72,9794.835,10527.842,11240.975,11657.626,11394.215,11695.965,12143.167,12035.402,12436.191,12514.286,12547.663,12581.664,12681.715,12898.427,12961.702,11911.454,12351.454,12573.021,12799.793,13123.437,13487.683,Africa
Implied PPP conversion rate,0.479,0.482,0.517,0.58,0.624,0.706,0.811,0.906,1.008,1.137,1.266,1.416,1.586,1.75,1.877,2.026,2.147,2.278,2.428,2.562,2.728,2.872,3.174,3.296,3.419,3.497,3.606,3.823,4.081,4.354,4.577,4.777,5.108,5.296,5.572,5.825,6.159,6.427,6.522,6.665,6.799,6.91,7.081,7.268,7.452,7.638,Africa
Total investment,31.356,34.115,26.529,27.173,25.543,22.05,21.021,17.784,21.228,22.746,19.413,19.025,16.769,15.162,17.72,19.167,18.04,17.715,17.992,17.035,16.365,15.745,16.278,17.106,18.467,18.315,20.183,20.986,23.15,20.705,19.513,19.721,19.966,21.164,20.499,20.918,19.161,18.806,17.94,17.589,13.228,13.488,13.831,13.965,14.321,14.855,Africa
Gross national savings,35.318,28.097,22.165,26.711,23.121,25.977,25.128,23.548,23.924,24.274,20.75,20.167,18.228,17.23,17.731,17.563,16.919,16.26,16.272,16.537,16.239,16.019,17.18,16.28,15.701,15.186,15.706,15.602,17.613,17.977,18.012,17.503,14.835,15.377,15.429,16.3,16.291,16.266,14.392,14.572,11.606,11.703,12.045,11.983,11.997,12.42,Africa
"Inflation, average consumer prices",4.308,4.967,5.683,6.392,7.117,8.283,9.808,11.4,12.875,14.775,16.875,19.442,22.175,24.317,26.467,28.783,30.9,33.567,35.908,37.733,39.767,42.008,45.85,48.542,49.233,50.883,53.233,57.042,63.308,67.817,70.708,74.233,78.408,82.925,87.975,92,97.833,102.992,107.75,112.2,115.942,120.438,125.617,131.27,137.177,143.35,Africa
"Inflation, average consumer prices",14.236,15.28,14.43,12.463,11.343,16.393,18.41,16.228,12.939,14.757,14.213,15.21,14.059,9.658,8.842,8.753,7.354,8.63,6.976,5.082,5.389,5.637,9.145,5.871,1.425,3.351,4.618,7.154,10.986,7.121,4.264,4.985,5.624,5.76,6.09,4.575,6.341,5.273,4.62,4.13,3.335,3.878,4.3,4.5,4.5,4.5,Africa
"Inflation, end of period consumer prices",4.7,5.3,6,6.7,7.5,8.9,10.5,12.1,13.6,15.7,18,20.9,22.9,25.1,27.5,29.4,32.2,34.2,37.3,38.1,40.7,42.6,47.9,48,49.7,51.5,54.5,59.3,65.269,69.386,71.796,76.214,80.532,84.85,89.369,94.088,100.414,105.151,110.324,114.457,118.272,123.358,128.662,134.452,140.502,146.825,Africa
"Inflation, end of period consumer prices",,12.766,13.208,11.667,11.94,18.667,17.978,15.238,12.397,15.441,14.65,16.111,9.569,9.607,9.562,6.909,9.524,6.211,9.064,2.145,6.824,4.668,12.441,0.209,3.542,3.622,5.825,8.807,10.066,6.308,3.473,6.154,5.665,5.362,5.325,5.281,6.724,4.717,4.92,3.745,3.333,4.3,4.3,4.5,4.5,4.5,Africa
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of imports of goods and services,18.774,13.736,-17.367,-16.092,19.799,-14.036,-2.452,3.494,21.91,0.317,-5.837,2.143,5.347,7.018,16.093,16.79,8.711,5.385,2.014,-8.362,5.338,0.25,5.341,8.084,15.509,10.879,18.261,9.366,2.809,-17.66,10.794,11.912,4.22,5.014,-0.564,5.443,-3.861,0.97,3.296,-0.486,-15.14,10.98,8.226,2.763,3.702,4.154,Africa
Volume of Imports of goods,21.616,14.216,-17.848,-18.681,21.473,-14.699,-5.324,3.961,23.943,-1.54,-4.265,0.38,5.539,6.695,18.918,19.676,11.852,6.732,1.223,-9.289,7.733,0.155,5.614,4.649,17.895,11.776,19.888,10.046,4.079,-21.394,9.743,14.408,6.437,6.194,0.014,5.574,-4.081,1.543,4.458,-0.143,-15.14,10.98,8.226,2.763,3.702,4.154,Africa
Volume of exports of goods and services,0.221,-5.353,-2.645,-1.328,2.666,10.077,-3.691,4.649,8.17,2.182,-0.434,-1.546,5.491,10.379,2.485,10.938,7.204,5.295,3.246,1.261,8.313,2.393,0.989,0.11,2.833,8.568,7.463,7.828,1.55,-17.024,7.718,3.496,0.794,3.985,3.577,2.925,0.352,-0.729,2.638,-2.511,-11.35,9.55,7.65,2.52,3.47,4.42,Africa
Volume of exports of goods,0.624,-4.186,-2.612,-0.182,1.754,10.796,-3.233,5.731,8.798,0.039,-0.72,0.305,6.454,11.041,1.192,10.52,5.372,5.151,1.98,1.385,8.947,0.815,-0.809,-1.761,4.158,8.802,6.986,7.459,2.036,-18.517,8.702,4.025,-0.256,4.161,3.206,3.527,-0.167,0.114,3.839,-2.351,-11.35,9.55,7.65,2.52,3.47,4.42,Africa
Unemployment rate,9.241,9.824,10.755,12.543,13.718,15.452,16.049,16.592,17.238,17.829,18.784,20.162,21.213,22.163,22.89,16.5,20.3,22,26.1,23.3,23,25.95,27.8,27.65,25.15,24.65,23.55,23,22.525,23.7,24.875,24.8,24.875,24.725,25.1,25.35,26.725,27.45,27.125,28.7,36.989,36.495,36.989,37.49,37.562,37.494,Africa
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Population,29.08,29.83,30.61,31.41,32.21,32.98,33.73,34.46,35.2,35.97,36.79,37.69,38.65,39.62,40.56,41.43,42.21,42.92,43.58,44.23,44.9,45.724,46.355,46.806,47.31,47.86,48.446,49.089,49.795,50.545,51.329,52.129,52.93,53.751,54.574,55.407,56.252,57.098,57.939,58.775,59.671,60.581,61.505,62.443,63.396,64.362,Africa
General government revenue,,,,,,,,,,,,,,,,,,,,,223.936,251.898,289.215,313.441,357.979,459.938,524.304,601.854,666.562,664.71,726.034,810.347,876.643,967.35,1049.871,1140.127,1246.222,1313.227,1415.556,1475.801,1307.018,1389.992,1553.542,1682.347,1814.742,1957.719,Africa
General government revenue,,,,,,,,,,,,,,,,,,,,,23.664,24.079,23.759,23.642,24.243,28.058,28.504,28.531,28.136,26.507,26.42,26.8,26.942,27.326,27.589,28.152,28.589,28.22,29.044,29.065,27.048,26.885,28.372,28.962,29.27,29.526,Africa
General government total expenditure,,,,,,,,,,,,,,,,,,,,,238.498,263.738,302.252,337.111,375.229,461.829,507.539,573.253,679.247,795.166,864.157,933.613,1020.652,1118.424,1212.095,1333.492,1423.515,1517.036,1617.546,1793.353,1985.624,1965.992,1984.23,2008.888,2077.95,2161.643,Africa
General government total expenditure,,,,,,,,,,,,,,,,,,,,,25.203,25.21,24.83,25.428,25.411,28.173,27.593,27.175,28.672,31.709,31.447,30.877,31.368,31.594,31.852,32.927,32.656,32.599,33.188,35.319,41.091,38.025,36.238,34.584,33.515,32.601,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-14.563,-11.84,-13.037,-23.67,-17.25,-1.891,16.766,28.601,-12.684,-130.456,-138.123,-123.266,-144.009,-151.074,-162.224,-193.365,-177.293,-203.809,-201.99,-317.552,-678.606,-575.999,-430.687,-326.541,-263.208,-203.924,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-1.539,-1.132,-1.071,-1.785,-1.168,-0.115,0.911,1.356,-0.535,-5.202,-5.026,-4.077,-4.426,-4.268,-4.263,-4.775,-4.067,-4.38,-4.144,-6.254,-14.043,-11.141,-7.866,-5.622,-4.245,-3.076,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,-12.704,-7.601,-8.479,-15.804,-11.7,-0.194,13.497,16.671,-21.815,-91.363,-103.96,-112.97,-136.089,-146.617,-156.993,-168.902,-165.834,-175.677,-171.626,-243.346,-473.714,-428.725,-335.59,-261.499,-227.242,-182.234,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,-1.346,-0.725,-0.696,-1.179,-0.785,-0.012,0.74,0.808,-0.941,-3.574,-3.736,-3.725,-4.167,-4.142,-4.127,-4.172,-3.779,-3.766,-3.512,-4.773,-9.054,-7.889,-5.914,-4.401,-3.635,-2.748,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,31.283,35.244,34.392,22.617,31.175,47.283,67.063,80.164,40.545,-73.274,-70.285,-46.779,-56.84,-48.314,-47.808,-63.661,-29.387,-38.596,-20.638,-115.054,-450.13,-314.999,-128.744,13.67,110.418,203.585,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,3.306,3.369,2.825,1.706,2.111,2.884,3.646,3.8,1.711,-2.922,-2.558,-1.547,-1.747,-1.365,-1.256,-1.572,-0.674,-0.829,-0.423,-2.266,-9.315,-6.093,-2.351,0.235,1.781,3.07,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,392.727,439.612,427.172,460.767,496.009,470.26,476.311,482.015,515.027,636.187,783.567,947.401,1133.638,1343.076,1549.675,1764.375,1979.278,2223.026,2488.082,2850.658,3598.731,4137.449,4567.469,4936.726,5253.001,5510.85,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,41.5,42.022,35.093,34.755,33.591,28.687,25.895,22.85,21.74,25.37,28.514,31.333,34.84,37.94,40.724,43.566,45.406,47.77,51.049,56.142,74.473,80.025,83.415,84.988,84.726,83.112,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,399.445,443.584,432.705,469.686,507.85,544.434,576.746,570.846,627.962,754.292,952.904,1155.884,1334.109,1561.221,1788.04,1997.998,2243.371,2467.402,2763.988,3155.816,3808.822,4278.765,4691.419,5069.614,5389.073,5647.554,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,42.21,42.402,35.547,35.428,34.393,33.212,31.355,27.061,26.507,30.079,34.676,38.228,41.001,44.103,46.988,49.335,51.465,53.022,56.71,62.151,78.821,82.758,85.679,87.275,86.921,85.174,Africa
Current account balance,3.287,-5.143,-3.422,-0.404,-1.873,2.321,2.775,5.105,2.567,1.514,1.545,1.416,1.963,2.778,0.016,-2.494,-1.656,-2.221,-2.368,-0.68,-0.172,0.333,1.044,-1.447,-6.332,-8.063,-12.17,-16.098,-15.896,-8.109,-5.633,-9.246,-20.335,-21.226,-17.794,-14.664,-8.503,-8.878,-13.064,-10.599,-4.583,-5.663,-6.189,-7.195,-8.944,-9.904,Africa
Current account balance,3.961,-6.018,-4.364,-0.462,-2.422,3.927,4.107,5.764,2.696,1.529,1.337,1.142,1.459,2.068,0.011,-1.604,-1.121,-1.455,-1.72,-0.498,-0.126,0.274,0.902,-0.826,-2.766,-3.129,-4.477,-5.383,-5.537,-2.728,-1.501,-2.218,-5.131,-5.786,-5.071,-4.618,-2.87,-2.541,-3.549,-3.017,-1.622,-1.785,-1.786,-1.982,-2.324,-2.435,Africa
GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.981,1341.084,1577.529,1508.249,1361.585,1028.288,888.762,865.686,862.085,883.685,857.816,855.606,871.748,910.81,951.416,Africa
Implied PPP conversion rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.593,2.291,2.501,2.609,3.268,13.07,35.505,58.785,67.621,59.805,81.499,100.898,117.388,131.982,141.983,Africa
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.492,10.734,12.844,21.422,12.299,15.253,7.564,8.45,17.224,6.739,10.279,7.276,22.522,32.931,40.554,Africa
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.276,-5.176,8.953,21.405,11.5,22.388,4.468,0.919,18.075,21.358,1.055,-5.884,10.702,17.142,25.746,Africa
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.546,158.926,158.864,161.495,246.786,1184.199,3408.738,6255.085,9456.849,12017.747,15990.262,20284.528,24199.541,27602.706,30894.83,Africa
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.078,-0.039,1.656,52.813,379.849,187.852,83.502,51.187,27.08,33.055,26.856,19.3,14.063,11.927,Africa
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.443,169.628,154.723,170.01,356.777,2068.361,4502.211,6305.983,8198.962,9838.755,12183.958,14288.37,15803.55,18016.047,20177.973,Africa
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.239,-8.787,9.88,109.856,479.735,117.67,40.064,30.019,20,23.836,17.272,10.604,14,12,Africa
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of imports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of Imports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of exports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.449,10.818,11.177,11.531,11.882,12.231,12.585,12.976,13.378,13.779,14.179,14.59,15.013,15.448,15.896,Africa
General government revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.241,5.587,9.641,12.097,9.362,48.447,144.05,256.513,303.872,234.682,319.389,412.93,510.053,623.257,745.289,Africa
General government revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.646,16.808,21.865,26.657,17.705,29.473,36.272,38.847,38.965,32.227,32.221,32.784,33.2,33.561,34.707,Africa
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,10.509,11.171,16.216,18.378,73.26,131.116,214.755,301.194,248.428,314.814,371.311,472.349,563.861,689.708,Africa
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.034,31.618,25.336,35.733,34.757,44.569,33.015,32.523,38.622,34.115,31.759,29.48,30.745,30.363,32.119,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.381,-4.922,-1.53,-4.118,-9.016,-24.813,12.934,41.758,2.678,-13.745,4.575,41.619,37.704,59.396,55.581,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.612,-14.81,-3.47,-9.075,-17.052,-15.096,3.257,6.324,0.343,-1.888,0.461,3.304,2.454,3.198,2.588,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.381,-4.922,-1.509,-3.811,-8.668,-24.449,13.996,45.266,11.443,-0.729,15.415,54.833,51.104,72.188,69.165,Africa
